rank;name;agency;real name;group;age;height;weight;blood type;origin;country;position;industry;gender;curr date;birth date
1;Jinah;주식회사 씨그널엔터테인먼트그룹;Seo Jin Ah;Berry Chu;37;;;;Seoul;South Korea;Leader, Vocalist;K-pop;Female;23.04.2020;29.04.1983
2;Hayul;주식회사 씨그널엔터테인먼트그룹;Kim Ha Yul;Berry Chu;33;;;;Seoul;South Korea;Vocalist;K-pop;Female;23.04.2020;18.10.1986
3;Jieun;주식회사 씨그널엔터테인먼트그룹;Han Ji Eun;Berry Chu;33;;;;Seoul;South Korea;Vocalist;K-pop;Female;23.04.2020;12.01.1987
4;Yunmi;주식회사 씨그널엔터테인먼트그룹;Heo Yun Mi;Berry Chu;32;;;;Incheon;South Korea;Vocalist;K-pop;Female;23.04.2020;23.03.1988
5;Haum;주식회사 씨그널엔터테인먼트그룹;Kim Haum;Berry Chu;29;;;;Seoul;South Korea;Vocalist, Maknae;K-pop;Female;23.04.2020;20.10.1990
6;Soyou;주식회사 씨그널엔터테인먼트그룹;Park So You;Berry Chu;34;;;;Seoul;South Korea;Vocalist;K-pop;Female;23.04.2020;09.01.1986
7;Vanya;Zenith Media Contents;Zhavanya Meidi Hendranata;Z-Girls;23;159;50;O;;Indonesia;Lead Vocalist, Main Dancer, Lead Rapper;K-pop;Female;23.04.2020;16.05.1996
8;Roy;Zenith Media Contents;Nguyn Hi Hoi Bo;Z-Boys;23;;;;;Vietnam;Main Vocalist;K-pop;Male;23.04.2020;31.08.1996
9;Josh;Zenith Media Contents;Joshuel Neolle Bautista;Z-Boys;22;174;;;;Philippines;Main Dancer, Lead Vocalist;K-pop;Male;23.04.2020;10.10.1997
10;Sid;Zenith Media Contents;Siddhant Arora;Z-Boys;20;;;;;India;Main Vocalist;K-pop;Male;23.04.2020;04.08.1999
11;Gai;Zenith Media Contents;Gai Futagami;Z-Boys;19;;;;Tokyo;Japan;Main Rapper, Lead Dancer, Vocalist, Visual;K-pop;Male;23.04.2020;20.06.2000
12;Blink;Zenith Media Contents;Paitoonphong Thadol;Z-Boys;15;;;;;Thailand;Vocalist, Maknae;K-pop;Male;23.04.2020;14.11.2004
13;Carlyn;Zenith Media Contents;Carlyn Cabel Ocampo;Z-Girls;24;160;45;;;Philippines;Leader, Main Vocalist, Lead Dancer, Center;K-pop;Female;23.04.2020;15.11.1995
14;Mahiro;Zenith Media Contents;Kawamura Mahiro;Z-Girls;24;156;43;A;Osaka;Japan;Lead Vocalist, Visual;K-pop;Female;23.04.2020;23.07.1995
15;Bell  ;Zenith Media Contents;Propatsorn Sodsaengthien;Z-Girls;16;156;43;;;Thailand;Lead Dancer, Rapper, Vocalist, Youngest;K-pop;Female;23.04.2020;06.01.2004
16;Queen;Zenith Media Contents;Lc Th Thy Quyn;Z-Girls;23;162;49;;;Vietnam;Main Rapper, Lead Dancer, Sub Vocalist;K-pop;Female;23.04.2020;02.04.1997
17;Priyanka;Zenith Media Contents;Prips Priyanka Mazumdar;Z-Girls;22;155;43;;;India;Main Vocalist;K-pop;Female;23.04.2020;02.07.1997
18;Joanne;Zenith Media Contents;Wang Nai Xuan;Z-Girls;19;173;50;;;Taiwan;Lead Dancer, Vocalist, Visual;K-pop;Female;23.04.2020;25.07.2000
19;Mavin;Zenith Media Contents;Malvin Saputra;Z-Boys;24;168;;;;Indonesia;Leader, Lead Dancer, Lead Rapper, Vocalist;K-pop;Male;23.04.2020;06.03.1996
20;Perry;Zenith Media Contents;Yung Han Shao;Z-Boys;25;;;;;Taiwan;Lead Vocalist, Lead Dancer;K-pop;Male;23.04.2020;28.02.1995
21;Sejin;Zenith Media;Hwang Sejin;Wanna.B;29;166;47;;Busan;South Korea;Leader, Main Vocalist, Lead Rapper;K-pop;Female;23.04.2020;20.06.1990
